115004-UA2008QJ                 	A 3D full scale connected recurrent deep layer aggregation for Scale Insensitive, Fast and Robust Liver Lesion Detection and Classification in Dynamic CT image
100000-215001                   	朱世强业务费
121001-BA2103                   	基于深度学习-流体模型融合的低温空化流场预测方法研究
113014-BA2101                   	用于高质量三维重建的偏振计量双目内窥成像技术的研究
100000-540601                   	劳务及顾问费
112003-AA2001                   	★面向拟态防御系统的数据加密存储技术研究
115011-TW2101                   	杭州城西科创大走廊“整体智治”示范区建设规划
115011-TW2102                   	浙江数据要素市场化配置思路研究
115007-TD2001                   	杭州市教育信息化三年行动计划（2021-2023）
112003-DB2001                   	工业互联网安全现场应急检测工具
112003-DB2002                   	内生安全工业交换机设备研制
117006-BA2101                   	基于异步通讯架构的百万级神经元类脑计算芯片关键技术研究
115007-GE2001                   	浙江省智能物流发展战略研究
115011-FF1901                   	人工智能社会治理实验组织实施和进展跟踪支撑工作
112003-DB2005PT                 	时间敏感网络交换机（配套）
112003-DB2004PT                 	支持IPv6的工业互联网高实时网关（配套）
112003-DB2006PT                 	基于时间敏感网络技术的PLC（配套）
102000-542002/005/001           	博士后联谊会工作经费（2021-2022）
112003-DB2006                   	基于时间敏感网络技术的PLC
115011-TD2001                   	人工智能社会治理实验跟踪和总结工作支撑
111001-ZX1801/001               	磁兼容的聚焦超声神经调控模块研制
100000-211003                   	交通保障费用
112003-DB2003                   	工业互联网拟态边缘网关研制
100000-211001                   	后勤服务费
100000-211004                   	园区搬迁费
113012-AC2001                   	光纤分布式水听演示系统
101100-540402                   	党群工作部-日常运行经费
102000-542004/002               	杨佳熹
111008-PI2101                   	PI科研启动经费（基于核磁共振成像的海量纤维束分析与应用）
121010-TD2101/001               	P级人工智能芯片及异构集群深度学习软件栈研发
119003-AB2103                   	基于非天然核酸的高密度DNA信息存储研究
121010-TD2101                   	P级人工智能芯片及异构计算集群(人工智能计算芯片)
117005-6TT2101                  	安全可信数据共享交换技术及应用研究
111010-540402                   	大数据智能研究中心—日常运行经费
117006-540402                   	智能计算硬件研究中心—日常运行经费
113004-ZX1801-1                 	智能无障感知芯片与系统课题一基于毫米波/太赫兹的无障感知方法与集成芯片设计
113010-PI2107                   	非接触式高分辨率时域扩散光学层析成像
115002-UA2005SJ                 	基于简化模型的仿人机器人欠驱动步行控制研究
115004-UA2002SJ                 	临床风险预测模型时空泛化能力提升关键技术
113010-UA2009                   	应用于纳米激光直写系统的阵列多通道空间光电光调制器研究
111002-UA2001SJ                 	面向复合情感分类识别的认知神经特征研究
112004-UA2001SJ                 	基于模仿学习的驾驶行为高精度建模
112004-UA2002SJ                 	群体智能下编队行驶一致性协议的研究
113010-UA2001SJ                 	基于多传感器异构信息融合的智能环境感知
113009-UA2002SJ                 	面向光动量极弱力测量的敏感单元质心运动冷却技术研究
113009-UA2003SJ                 	面向微米-亚毫米尺度磁表征的室温高灵敏度光纤金刚石磁强计研究
115004-UA2001SJ                 	基于CT图像的胰腺癌治疗反应预测研究
115004-UA2003SJ                 	基于WD40蛋白的重要结构特征理解其相关变异的致病分子机制
111002-UA2001QJ                 	面向复合情感分类识别的认知神经特征研究
113010-UA2010                   	基于巯基光点击聚合的有机-无机杂化超分辨率飞秒激光光刻胶研究
112003-UA2001QJ                 	基于边缘计算的低延时卫星通信技术研究
112004-UA2001QJ                 	基于模仿学习的驾驶行为高精度建模
112004-UA2002QJ                 	群体智能下编队行驶一致性协议的研究
112004-UA2003QJ                 	面向电离层应用的低频天线理论研究
113009-UA2001QJ                 	基于偏置磁场调制技术的低频磁场噪声抑制方法及实验研究
113009-UA2002QJ                 	面向光动量极弱力测量的敏感单元质心运动冷却技术研究
113009-UA2003QJ                 	面向微米-亚毫米尺度磁表征的室温高灵敏度光纤金刚石磁强计研究
113010-UA2001QJ                 	基于多传感器异构信息融合的智能环境感知
113010-UA2002QJ                 	多光束漂移实时探测与校正技术的研究
113010-UA2003QJ                 	基于CMOS芯片的高并行嗅觉传感阵列研究
113010-UA2004QJ                 	蚕丝蛋白透明纸的制备及其触觉电子器件
113010-UA2005QJ                 	基于光场调控的大通量3D暗斑技术研究
113010-UA2006QJ                 	多参量高阶解耦柔性触觉传感器件的研究
113011-UA2002QJ                 	基于降阶算法的超表面快速三维数值分析与设计方法
115002-UA2001QJ                 	基于分布式倾转旋翼无人机的气动优化及动力布局研究
115002-UA2002QJ                 	火星环境中的地形语义理解算法研究
